tiers,weight,flavor,complexity,occasion,price
3,2.3,fruit,minimal,wedding,3550
1,2.5,spicy,standard,birthday,1300
4,1.1,vanilla,intricate,birthday,2100
2,7.6,spicy,minimal,birthday,3500
1,7.8,nuts,intricate,birthday,10050
5,5.7,fruit,standard,birthday,6200
3,5.6,spicy,intricate,wedding,10000
3,9.2,fruit,intricate,wedding,19900
1,2.6,nuts,minimal,birthday,1650
4,3.4,spicy,intricate,birthday,4250
4,3.7,fruit,intricate,birthday,5350
2,3.9,spicy,minimal,other,1950
5,3.8,spicy,minimal,other,3450
2,8.1,chocolate,intricate,other,8700
4,6.9,spicy,minimal,other,4150
2,4.2,fruit,intricate,anniversary,5450
5,8.1,nuts,standard,wedding,14400
3,6.2,nuts,minimal,other,5250
3,3.9,chocolate,minimal,anniversary,3350
2,9.4,nuts,intricate,anniversary,13200
1,1.4,chocolate,standard,other,1050
1,1.7,spicy,minimal,birthday,750
1,6.0,fruit,standard,anniversary,4250
3,9.3,vanilla,minimal,wedding,8650
4,6.2,spicy,intricate,other,6000
4,1.1,vanilla,minimal,wedding,2250
1,2.6,vanilla,minimal,wedding,2200
2,5.3,fruit,minimal,other,3200
5,7.2,vanilla,intricate,anniversary,8350
1,1.4,chocolate,standard,anniversary,1200
4,4.0,nuts,intricate,anniversary,7850
2,0.9,chocolate,intricate,anniversary,1700
4,2.5,chocolate,standard,birthday,3250
3,3.0,nuts,minimal,anniversary,3050
4,2.0,chocolate,intricate,wedding,5700
3,0.9,vanilla,minimal,anniversary,1450
1,4.0,vanilla,minimal,wedding,3350
2,7.7,chocolate,standard,other,6200
3,8.2,fruit,intricate,wedding,17350
1,8.3,nuts,standard,other,7250
4,9.3,nuts,minimal,anniversary,7800
2,9.8,vanilla,intricate,wedding,13900
4,2.2,nuts,standard,wedding,5050
5,1.8,nuts,minimal,wedding,3950
5,7.1,vanilla,intricate,anniversary,8750
5,7.2,spicy,standard,wedding,8350
2,2.9,vanilla,minimal,birthday,1750
1,8.2,nuts,standard,wedding,13350
4,5.7,chocolate,intricate,other,6850
4,6.6,vanilla,minimal,anniversary,4400
2,5.0,fruit,minimal,anniversary,3950
3,0.7,vanilla,intricate,anniversary,1700
3,7.2,fruit,intricate,other,8400
3,8.5,vanilla,intricate,wedding,13650
5,6.5,nuts,standard,anniversary,7850
5,3.1,vanilla,standard,other,3350
4,10.0,chocolate,standard,anniversary,9950
3,5.9,fruit,minimal,wedding,7600
5,9.8,fruit,minimal,birthday,6850
4,8.6,vanilla,minimal,anniversary,5750
1,9.3,fruit,standard,birthday,6400
5,4.6,vanilla,minimal,other,4150
5,1.6,vanilla,minimal,other,2500
2,1.7,fruit,intricate,birthday,2050
3,6.3,spicy,intricate,wedding,10200
2,9.2,fruit,minimal,wedding,9350
1,1.7,nuts,intricate,wedding,4300
1,2.3,spicy,standard,wedding,2350
1,2.3,spicy,minimal,other,950
3,1.9,vanilla,standard,birthday,1900
4,6.8,fruit,standard,wedding,10800
3,5.5,vanilla,standard,birthday,4100
3,2.5,fruit,minimal,wedding,3600
3,5.7,chocolate,standard,other,4750
5,7.3,nuts,standard,wedding,13750
2,4.1,spicy,minimal,anniversary,2450
3,6.6,vanilla,standard,wedding,8100
3,1.5,chocolate,standard,other,2050
1,7.1,nuts,standard,anniversary,7100
2,5.5,chocolate,minimal,birthday,3650
3,6.9,spicy,intricate,other,6450
4,1.2,chocolate,intricate,other,2650
1,10.0,fruit,intricate,birthday,9000
3,6.6,chocolate,intricate,other,8000
2,6.3,vanilla,standard,wedding,6750
2,9.3,chocolate,minimal,other,6000
2,6.2,vanilla,intricate,birthday,5300
2,3.3,spicy,minimal,anniversary,2000
2,1.9,spicy,minimal,anniversary,1400
1,6.8,nuts,standard,wedding,10800
4,3.6,chocolate,intricate,birthday,5700
3,3.4,nuts,minimal,other,3250
2,6.4,chocolate,standard,anniversary,6000
1,7.6,nuts,intricate,wedding,19050
3,9.9,spicy,minimal,birthday,5200
4,4.3,spicy,standard,other,3850
3,7.6,nuts,standard,birthday,6400
3,6.9,vanilla,minimal,anniversary,4150
3,3.2,spicy,standard,other,2750
1,8.0,vanilla,intricate,anniversary,7750
3,9.7,nuts,standard,wedding,17550
4,0.5,fruit,intricate,birthday,2000
1,7.7,vanilla,intricate,wedding,10500
3,3.8,chocolate,intricate,other,5200
1,6.2,fruit,intricate,birthday,5600
5,0.8,nuts,standard,birthday,2550
3,6.7,spicy,intricate,wedding,11300
4,9.9,spicy,standard,birthday,5850
5,2.6,chocolate,standard,birthday,3550
3,10.0,vanilla,standard,birthday,6150
5,1.8,spicy,minimal,wedding,3250
4,9.9,chocolate,intricate,anniversary,13150
3,10.0,vanilla,minimal,other,4850
1,0.6,nuts,minimal,wedding,700
3,3.8,chocolate,standard,birthday,4000
2,7.2,fruit,standard,wedding,9400
3,5.9,fruit,standard,other,5100
1,6.3,spicy,intricate,other,4750
1,2.8,spicy,intricate,anniversary,2600
5,9.5,spicy,minimal,wedding,9750
5,5.2,spicy,intricate,birthday,6250
1,8.8,vanilla,intricate,other,6400
4,5.9,vanilla,intricate,anniversary,6400
3,5.1,nuts,intricate,other,7400
3,7.3,fruit,standard,birthday,5500
3,3.4,chocolate,standard,birthday,3400
4,8.5,spicy,intricate,other,7150
2,9.9,chocolate,standard,birthday,6750
4,6.7,fruit,intricate,other,7900
1,2.9,vanilla,standard,wedding,2850
3,3.2,nuts,standard,anniversary,3850
3,6.1,chocolate,minimal,wedding,8200
1,6.3,vanilla,intricate,wedding,9550
5,5.0,nuts,standard,birthday,5900
1,0.7,fruit,intricate,wedding,1300
2,8.1,chocolate,intricate,other,8200
4,5.0,fruit,intricate,other,5850
2,2.0,chocolate,intricate,other,2700
5,9.1,nuts,intricate,other,13000
2,6.1,chocolate,minimal,anniversary,4750
2,1.5,chocolate,intricate,other,1950
1,1.9,spicy,intricate,birthday,1550
1,0.7,vanilla,minimal,other,300
3,4.5,chocolate,minimal,wedding,6650
5,1.7,chocolate,intricate,anniversary,4300
4,9.4,spicy,standard,wedding,9900
3,4.3,chocolate,intricate,other,5850
1,4.0,nuts,intricate,birthday,5150
5,0.8,chocolate,minimal,wedding,2900
1,8.0,spicy,standard,anniversary,5000
1,4.8,nuts,standard,other,3750
1,5.2,nuts,intricate,other,6500
2,8.8,spicy,intricate,wedding,14800
1,9.4,nuts,minimal,other,5550
2,5.0,spicy,standard,other,2950
3,5.3,fruit,intricate,other,5800
4,6.3,spicy,intricate,anniversary,6600
1,9.6,vanilla,minimal,birthday,3700
2,9.9,nuts,minimal,birthday,6450
3,4.3,spicy,minimal,other,2450
4,9.2,nuts,intricate,anniversary,13400
5,9.7,fruit,minimal,other,7650
5,2.5,nuts,intricate,wedding,8300
2,8.8,fruit,minimal,anniversary,5800
3,4.8,vanilla,standard,birthday,3550
1,8.1,fruit,standard,other,4900
4,7.0,vanilla,minimal,anniversary,4750
1,1.9,fruit,standard,wedding,2650
4,3.7,spicy,intricate,anniversary,4550
2,2.2,nuts,intricate,birthday,3400
4,9.4,chocolate,intricate,anniversary,14500
2,9.7,chocolate,standard,birthday,7700
2,6.0,chocolate,standard,other,4900
4,8.7,fruit,standard,other,7050
4,8.4,chocolate,intricate,other,10500
1,1.9,spicy,standard,wedding,1800
1,7.2,chocolate,minimal,wedding,7250
1,7.2,chocolate,intricate,birthday,7050
5,2.5,chocolate,standard,other,3950
4,1.1,chocolate,minimal,birthday,2150
2,9.2,nuts,minimal,anniversary,7700
5,9.2,nuts,standard,anniversary,9850
2,2.0,fruit,intricate,anniversary,3100
1,9.1,fruit,minimal,other,4450
1,9.2,spicy,minimal,birthday,3550
2,2.2,fruit,standard,anniversary,2450
3,3.7,chocolate,intricate,birthday,4850
5,3.9,chocolate,minimal,other,4000
1,3.4,vanilla,intricate,wedding,4950
1,1.9,spicy,intricate,wedding,2600
1,7.7,vanilla,intricate,other,6150
2,6.8,vanilla,minimal,other,3200
3,1.3,chocolate,intricate,anniversary,2800
3,7.2,chocolate,standard,other,6550
4,7.1,chocolate,minimal,birthday,5500
3,5.1,fruit,standard,wedding,7450
5,1.7,chocolate,standard,anniversary,3750
1,2.4,vanilla,intricate,wedding,3300
3,9.6,vanilla,minimal,birthday,4500
1,2.4,nuts,standard,birthday,1950
1,2.6,chocolate,intricate,other,2900
3,7.6,vanilla,minimal,birthday,3850
5,6.1,chocolate,intricate,wedding,14450
5,3.9,vanilla,standard,anniversary,4700
5,6.1,nuts,standard,wedding,11250
5,3.7,spicy,standard,birthday,3950
5,8.3,nuts,intricate,other,12050
4,0.8,spicy,standard,anniversary,1850
3,0.6,nuts,standard,birthday,1450
4,6.6,spicy,standard,wedding,8000
1,7.1,chocolate,standard,other,5300
1,2.6,chocolate,standard,wedding,3500
4,2.7,spicy,standard,anniversary,3400
2,5.2,vanilla,intricate,other,4800
1,4.3,vanilla,standard,wedding,4300
3,7.3,chocolate,minimal,wedding,8300
2,3.0,spicy,standard,anniversary,2200
3,9.6,fruit,standard,birthday,6650
5,5.2,vanilla,intricate,other,5400
2,8.9,chocolate,standard,birthday,6150
2,7.9,fruit,standard,birthday,5650
5,7.0,spicy,intricate,other,7500
5,1.7,spicy,minimal,other,2550
2,9.6,fruit,intricate,birthday,9800
1,3.6,spicy,minimal,birthday,1500
5,1.4,chocolate,intricate,other,3550
5,0.8,chocolate,intricate,anniversary,2900
5,7.4,nuts,intricate,wedding,19750
4,9.6,nuts,minimal,other,7000
1,9.3,fruit,intricate,wedding,17200
5,7.6,spicy,standard,birthday,6200
2,5.1,chocolate,intricate,wedding,11500
5,6.8,spicy,minimal,wedding,8150
5,7.5,nuts,standard,birthday,8150
4,6.7,vanilla,intricate,anniversary,8250
3,8.9,fruit,minimal,anniversary,6650
4,0.9,chocolate,minimal,anniversary,2000
3,5.5,nuts,intricate,wedding,13200
5,8.2,vanilla,intricate,wedding,15450
1,3.3,vanilla,standard,birthday,1500
2,6.9,nuts,minimal,other,4650
5,3.9,spicy,minimal,birthday,3800
2,1.3,nuts,minimal,wedding,2050
2,2.3,chocolate,intricate,anniversary,3350
4,6.8,fruit,minimal,other,4900
2,2.2,chocolate,minimal,wedding,3050
5,3.0,fruit,minimal,other,3600
2,6.1,vanilla,minimal,other,3150
1,6.1,vanilla,minimal,other,2700
3,8.4,spicy,minimal,birthday,4150
3,6.5,spicy,standard,birthday,4100
1,3.5,fruit,minimal,wedding,3900
2,5.3,spicy,intricate,anniversary,5450
1,6.1,fruit,intricate,birthday,5950
2,7.9,spicy,standard,other,4050
4,4.4,fruit,minimal,anniversary,3950
4,6.3,chocolate,intricate,other,8750
2,9.1,vanilla,minimal,other,3900
2,9.0,nuts,minimal,anniversary,7600
1,3.1,nuts,standard,birthday,2400
3,2.2,vanilla,standard,birthday,1950
4,7.4,vanilla,intricate,birthday,7150
3,0.5,spicy,minimal,birthday,1150
2,4.5,nuts,minimal,birthday,3600
1,1.1,nuts,intricate,anniversary,1650
5,3.9,chocolate,intricate,birthday,6400
4,2.9,fruit,intricate,other,4500
4,4.2,vanilla,intricate,birthday,4300
3,3.3,spicy,minimal,birthday,2300
5,2.9,spicy,standard,other,3750
1,4.1,fruit,intricate,wedding,8450
1,8.7,chocolate,minimal,wedding,8900
4,2.8,nuts,standard,birthday,3900
3,4.1,fruit,minimal,anniversary,3200
5,6.7,spicy,intricate,birthday,7550
4,6.2,chocolate,intricate,birthday,7250
3,5.5,vanilla,minimal,wedding,5250
1,8.4,nuts,intricate,other,9550
5,7.8,nuts,intricate,anniversary,13350
5,8.0,vanilla,minimal,other,5250
1,1.7,vanilla,minimal,wedding,1400
4,3.3,vanilla,intricate,anniversary,4850
2,6.4,chocolate,intricate,wedding,13850
2,6.6,chocolate,minimal,other,3800
2,3.3,fruit,standard,birthday,2600
5,0.5,vanilla,standard,wedding,2500
5,4.5,chocolate,intricate,anniversary,6950
5,0.7,chocolate,standard,wedding,2800
4,1.6,spicy,minimal,birthday,2200
1,4.0,fruit,intricate,anniversary,4900
4,4.1,fruit,standard,other,4250
5,3.9,fruit,intricate,wedding,8800
5,3.6,spicy,minimal,anniversary,3450
1,7.8,fruit,standard,anniversary,5900
4,2.2,nuts,intricate,anniversary,4850
5,8.8,nuts,standard,wedding,17350
4,4.8,spicy,intricate,birthday,4950
5,7.7,fruit,minimal,wedding,9850
4,6.7,nuts,standard,wedding,11300
1,2.9,nuts,minimal,anniversary,2050
4,8.7,chocolate,minimal,anniversary,7400
2,7.2,vanilla,minimal,anniversary,3700
2,9.2,vanilla,minimal,birthday,4450
2,7.0,spicy,intricate,birthday,5750
1,5.0,nuts,minimal,birthday,3100
1,8.4,fruit,minimal,anniversary,5400
1,9.2,nuts,minimal,anniversary,6800
5,5.9,nuts,intricate,wedding,16050
5,7.7,chocolate,standard,anniversary,8350
1,4.3,nuts,standard,anniversary,4000
2,5.8,nuts,minimal,wedding,8300
2,9.2,spicy,minimal,anniversary,4650
1,7.3,chocolate,standard,other,5200
3,8.1,chocolate,intricate,wedding,16950
2,0.9,nuts,standard,other,1200
5,0.6,chocolate,minimal,birthday,2550
2,2.4,chocolate,intricate,other,2900
2,1.3,chocolate,standard,other,1500
2,3.4,fruit,minimal,wedding,4200
3,4.3,chocolate,intricate,other,5150
3,4.2,spicy,minimal,other,2500
3,7.3,spicy,intricate,birthday,7000
1,3.4,fruit,minimal,birthday,1600
2,8.3,spicy,standard,other,4300
3,9.9,fruit,minimal,birthday,6100
2,5.8,nuts,intricate,anniversary,8350
2,7.1,vanilla,standard,anniversary,4700
3,7.7,vanilla,intricate,anniversary,8350
2,6.8,fruit,intricate,birthday,6900
5,9.8,spicy,intricate,other,8800
2,9.7,chocolate,standard,birthday,7800
1,4.3,chocolate,intricate,anniversary,5100
4,9.3,chocolate,standard,other,8400
2,9.9,vanilla,minimal,wedding,7900
4,9.5,chocolate,minimal,other,7100
3,2.0,spicy,intricate,anniversary,2750
2,6.8,vanilla,standard,wedding,7100
5,8.8,spicy,minimal,wedding,9800
2,8.1,nuts,standard,birthday,7200
2,1.4,fruit,intricate,other,1800
1,6.4,vanilla,intricate,anniversary,6250
3,2.1,nuts,standard,other,2900
2,9.7,spicy,standard,wedding,10700
4,4.5,chocolate,standard,other,4400
1,6.1,chocolate,minimal,anniversary,4200
5,0.7,vanilla,standard,other,2550
4,9.7,fruit,intricate,birthday,11300
5,1.0,vanilla,intricate,wedding,3750
1,5.1,fruit,standard,anniversary,4050
2,4.8,vanilla,standard,birthday,3200
4,2.1,fruit,minimal,wedding,3650
1,5.0,fruit,intricate,other,5150
5,0.6,fruit,minimal,wedding,2800
5,7.9,fruit,standard,anniversary,8450
1,3.2,fruit,minimal,wedding,3100
1,3.1,vanilla,standard,wedding,3000
2,2.1,nuts,intricate,birthday,2750
5,2.8,nuts,intricate,birthday,5600
5,3.8,chocolate,minimal,wedding,6000
4,10.0,chocolate,minimal,wedding,11750
1,1.2,chocolate,minimal,anniversary,850
2,0.5,chocolate,minimal,birthday,750
4,6.8,nuts,minimal,birthday,6350
3,9.9,chocolate,intricate,other,10900
2,5.7,chocolate,standard,wedding,9250
1,2.3,spicy,intricate,anniversary,2000
4,4.8,nuts,intricate,other,7500
3,7.0,fruit,intricate,other,7750
1,2.9,chocolate,minimal,other,1500
4,7.9,chocolate,standard,birthday,7450
2,3.6,spicy,minimal,birthday,1900
4,0.8,vanilla,intricate,other,2150
4,6.9,nuts,minimal,other,5600
4,8.1,spicy,standard,birthday,5600
5,9.5,nuts,standard,birthday,9850
3,4.6,nuts,standard,wedding,8500
2,6.3,spicy,intricate,birthday,5100
3,7.6,vanilla,standard,wedding,9200
3,1.7,spicy,intricate,birthday,2250
4,1.0,vanilla,minimal,other,1950
4,3.5,fruit,minimal,birthday,3200
5,4.7,spicy,standard,wedding,6050
2,2.4,nuts,standard,birthday,2300
2,3.8,nuts,intricate,wedding,8900
5,3.7,fruit,standard,anniversary,4950
5,6.9,spicy,standard,wedding,9600
3,0.7,chocolate,minimal,other,1300
2,4.4,chocolate,standard,birthday,3900
3,2.7,spicy,minimal,other,2200
5,6.2,spicy,intricate,other,6050
2,0.8,fruit,intricate,birthday,1300
2,4.1,vanilla,standard,birthday,2700
3,7.6,nuts,minimal,wedding,11250
2,2.8,fruit,standard,anniversary,2600
2,3.7,nuts,intricate,wedding,9650
1,5.5,fruit,intricate,anniversary,7000
3,3.7,fruit,minimal,anniversary,3300
1,6.0,nuts,minimal,other,3700
1,7.2,fruit,minimal,birthday,3400
5,8.9,spicy,minimal,anniversary,6850
5,5.1,spicy,intricate,birthday,5500
3,7.4,nuts,intricate,other,10400
1,6.0,chocolate,intricate,birthday,5900
1,1.3,chocolate,standard,wedding,1900
5,9.9,fruit,standard,birthday,8000
5,3.1,fruit,minimal,anniversary,4100
1,3.6,chocolate,minimal,anniversary,2200
3,7.4,spicy,standard,birthday,4300
1,8.2,spicy,standard,wedding,8400
5,1.2,spicy,standard,birthday,2650
5,3.9,vanilla,minimal,anniversary,3800
1,3.1,spicy,standard,other,1550
4,3.3,chocolate,standard,other,4100
2,9.8,vanilla,standard,wedding,9700
2,9.9,fruit,intricate,anniversary,11400
1,3.4,fruit,intricate,anniversary,4100
1,7.2,vanilla,standard,birthday,3750
2,7.2,vanilla,minimal,birthday,3250
5,6.5,vanilla,minimal,wedding,7150
4,2.6,vanilla,intricate,other,3350
4,8.6,vanilla,intricate,birthday,7600
1,9.4,nuts,standard,other,6950
2,8.1,vanilla,intricate,other,7050
3,0.9,spicy,standard,birthday,1550
2,1.6,chocolate,minimal,wedding,2500
5,6.2,nuts,standard,other,6300
5,8.6,vanilla,standard,anniversary,7650
4,1.1,spicy,standard,anniversary,2100
2,5.1,nuts,standard,other,4550
1,5.2,chocolate,intricate,birthday,4950
3,6.9,vanilla,intricate,anniversary,7300
1,3.5,vanilla,intricate,other,2550
4,3.0,vanilla,minimal,other,2600
4,7.0,chocolate,standard,anniversary,6650
3,4.0,nuts,standard,other,4450
1,9.2,vanilla,minimal,anniversary,4200
1,1.3,nuts,intricate,birthday,1650
2,4.2,vanilla,standard,birthday,2350
4,8.1,spicy,intricate,wedding,15000
3,4.4,nuts,standard,other,4900
5,9.8,fruit,standard,other,7950
5,3.7,spicy,standard,birthday,4200
5,9.1,spicy,standard,wedding,11850
2,4.6,fruit,intricate,other,5300
2,2.3,fruit,minimal,wedding,2800
5,3.6,chocolate,intricate,wedding,10200
1,0.8,chocolate,minimal,wedding,950
2,5.9,nuts,intricate,wedding,14750
3,6.6,chocolate,minimal,birthday,4600
4,1.7,spicy,intricate,birthday,2800
2,4.8,chocolate,intricate,wedding,11600
5,2.3,chocolate,standard,birthday,3950
5,2.0,spicy,standard,wedding,4050
1,8.4,fruit,minimal,anniversary,4950
4,2.6,vanilla,intricate,wedding,5200
3,3.4,chocolate,standard,birthday,3450
3,7.2,fruit,standard,birthday,6000
1,4.6,vanilla,standard,anniversary,2500
4,1.7,nuts,minimal,other,2750
4,1.5,spicy,minimal,wedding,2700
3,5.9,spicy,intricate,other,5500
2,7.8,fruit,standard,birthday,5850
3,8.0,chocolate,intricate,birthday,8700
2,9.2,vanilla,standard,wedding,9000
2,8.6,fruit,intricate,anniversary,10050
1,6.2,fruit,minimal,other,3500
3,3.1,vanilla,standard,birthday,2700
2,4.7,nuts,standard,wedding,8050
2,9.1,spicy,standard,birthday,5250
3,7.9,chocolate,minimal,wedding,10650
1,2.5,spicy,standard,wedding,2350
2,4.4,spicy,minimal,wedding,4050
1,8.4,vanilla,standard,other,4250
3,5.8,fruit,standard,anniversary,5150
2,4.9,nuts,minimal,other,3800
4,6.9,nuts,standard,birthday,7000
1,6.0,spicy,minimal,birthday,2650
1,5.7,vanilla,minimal,anniversary,2900
2,9.5,vanilla,minimal,birthday,4400
5,2.5,vanilla,standard,wedding,4950
2,1.5,chocolate,intricate,wedding,3750
5,5.9,nuts,minimal,anniversary,6800
5,9.2,chocolate,minimal,birthday,7750
3,5.6,nuts,minimal,anniversary,5800
5,6.6,chocolate,standard,anniversary,6850
2,7.3,fruit,intricate,birthday,7750
5,8.7,fruit,standard,birthday,6950
4,7.8,spicy,minimal,birthday,4750
3,4.1,vanilla,minimal,wedding,3900
5,5.7,nuts,minimal,anniversary,6600
2,2.4,fruit,standard,anniversary,2500
3,8.7,nuts,minimal,birthday,6000
1,9.2,vanilla,intricate,wedding,12700
4,0.9,chocolate,intricate,birthday,2650
2,6.8,vanilla,standard,anniversary,4800
2,5.0,chocolate,intricate,birthday,5300
2,9.7,chocolate,intricate,wedding,21200
3,1.7,fruit,standard,anniversary,2150
1,4.8,spicy,intricate,other,3250
2,9.1,spicy,intricate,wedding,14800
2,5.4,fruit,minimal,other,3250
2,2.2,chocolate,minimal,anniversary,2000
2,5.7,fruit,minimal,other,3350
4,8.2,chocolate,minimal,birthday,5800
4,9.0,nuts,standard,other,9500
1,3.6,vanilla,minimal,wedding,2700
5,0.6,nuts,standard,birthday,2350
1,1.5,nuts,standard,anniversary,1450
1,7.7,nuts,intricate,birthday,9550
5,1.3,nuts,intricate,anniversary,3700
2,2.0,fruit,intricate,wedding,4200
4,5.0,spicy,intricate,wedding,8300
4,8.0,spicy,intricate,wedding,13300
5,1.8,fruit,minimal,other,2900
5,6.0,vanilla,minimal,birthday,4050
5,5.5,fruit,minimal,other,4700
4,8.0,spicy,minimal,wedding,8600
1,6.8,fruit,intricate,other,6650
5,1.4,nuts,intricate,anniversary,3700
4,5.6,nuts,minimal,wedding,8300
2,3.3,fruit,intricate,birthday,3450
5,8.7,chocolate,minimal,birthday,7250
1,7.4,spicy,minimal,other,2650
2,7.7,fruit,intricate,wedding,15600
5,4.9,spicy,standard,birthday,4300
5,3.9,fruit,minimal,anniversary,4250
1,3.4,nuts,minimal,wedding,4450
2,1.4,chocolate,standard,anniversary,1650
5,2.5,chocolate,standard,other,3750
3,8.1,nuts,minimal,anniversary,7350
3,1.6,nuts,minimal,other,2000
4,2.3,spicy,minimal,wedding,3500
4,8.1,vanilla,minimal,birthday,5150
1,3.4,vanilla,minimal,other,1400
2,5.1,nuts,minimal,anniversary,4600
1,7.8,spicy,minimal,birthday,3250
5,6.8,nuts,intricate,anniversary,10700
4,8.8,nuts,minimal,wedding,12900
2,1.8,chocolate,standard,wedding,3250
3,9.4,nuts,minimal,wedding,12050
4,9.2,chocolate,standard,birthday,7900
1,7.8,spicy,standard,wedding,7250
5,1.3,chocolate,standard,other,2650
4,1.8,fruit,standard,anniversary,3150
2,6.0,chocolate,minimal,other,3600
4,5.3,vanilla,intricate,wedding,9950
2,6.2,nuts,intricate,other,7600
2,3.9,nuts,intricate,other,4950
2,8.3,fruit,intricate,anniversary,10800
5,5.3,chocolate,intricate,wedding,13950
2,6.0,spicy,intricate,other,5400
4,6.9,nuts,intricate,birthday,10500
1,9.6,spicy,standard,wedding,9550
1,9.0,nuts,standard,anniversary,8150
4,3.8,chocolate,standard,other,4250
1,0.9,vanilla,standard,wedding,900
5,3.5,spicy,intricate,birthday,4250
1,5.8,nuts,minimal,anniversary,4500
4,0.9,chocolate,minimal,other,1850
5,7.6,chocolate,standard,wedding,13600
4,7.1,fruit,intricate,anniversary,9000
2,0.9,vanilla,intricate,wedding,1700
1,7.7,chocolate,standard,wedding,10250
